CNC4,A66,3,1,10.132.205.31,,
CNC4,A65,3,2,10.132.205.30,,
CNC4,A64,3,3,10.132.205.29,,
CNC4,A63,3,4,10.132.205.28,,
CNC4,A62,3,5,10.132.205.27,,
CNC5,A61,3,1,10.132.205.26,,
CNC5,A60,3,2,10.132.205.25,,
CNC5,A59,3,3,10.132.205.24,,
CNC5,A58,3,4,10.132.205.23,,
CNC5,A57,3,5,10.132.205.22,,
CNC5,A56,3,6,10.132.205.21,,
CNC5,A55,3,7,10.132.205.20,,
CNC5,A54,3,8,10.132.205.19,,
CNC5,A53,3,9,10.132.205.18,,
CNC5,A52,3,10,10.132.205.17,,
CNC5,A51,3,11,10.132.205.16,,
CNC5,A50,3,12,10.132.205.15,,
CNC5,A49,3,13,10.132.205.14,,
CNC5,A48,3,14,10.132.205.13,,
CNC5,A47,3,15,10.132.205.12,,
CNC5,A46,3,16,10.132.205.11,,
CNC5,A45,3,17,10.132.205.10,,
CNC4,A23,2,1,10.132.205.32,,
CNC4,A24,2,2,10.132.205.33,,
CNC4,A25,2,3,10.132.205.34,,
CNC4,A26,2,4,10.132.205.35,,
CNC4,A27,2,5,10.132.205.36,,
CNC5,A28,2,1,10.132.205.37,,
CNC5,A29,2,2,10.132.205.38,,
CNC5,A30,2,3,10.132.205.39,,
CNC5,A31,2,4,10.132.205.40,,
CNC5,A32,2,5,10.132.205.41,,
CNC5,A33,2,6,10.132.205.42,,
CNC5,A34,2,7,10.132.205.43,,
CNC5,A35,2,8,10.132.205.44,,
CNC5,A36,2,9,10.132.205.45,,
CNC5,A37,2,10,10.132.205.46,,
CNC5,A38,2,11,10.132.205.47,,
CNC5,A39,2,12,10.132.205.48,,
CNC5,A40,2,13,10.132.205.49,,
CNC5,A41,2,14,10.132.205.50,,
CNC5,A42,2,15,10.132.205.51,,
CNC5,A43,2,16,10.132.205.52,,
CNC5,A44,2,17,10.132.205.53,,
